id|task_id|literature_id|relevance
91|2|583699|relevant
92|2|654630|relevant
93|2|719386|relevant
94|2|1726814|relevant
95|2|1766597|relevant
96|2|1774344|relevant
97|2|1889807|relevant
98|2|2390292|relevant
99|2|2422025|relevant
100|2|2836162|relevant
101|2|4272101|relevant
102|2|4306687|relevant
103|2|4733283|relevant
104|2|5014128|relevant
105|2|5268884|relevant
106|2|6559052|relevant
107|2|12866337|relevant
108|2|13289685|relevant
109|2|13296519|relevant
110|2|13312575|relevant
111|2|39324197|relevant
112|2|50993680|relevant
113|2|52616145|relevant
114|2|56921761|relevant
115|2|56994553|relevant
116|2|49728|partially relevant
117|2|322602|partially relevant
118|2|455948|partially relevant
119|2|458802|partially relevant
120|2|743587|partially relevant
121|2|1247714|partially relevant
122|2|1701943|partially relevant
123|2|1818354|partially relevant
124|2|2164997|partially relevant
125|2|2333761|partially relevant
126|2|2760686|partially relevant
127|2|4284511|partially relevant
128|2|4284589|partially relevant
129|2|4344459|partially relevant
130|2|4397581|partially relevant
131|2|4468642|partially relevant
132|2|5662184|partially relevant
133|2|5831655|partially relevant
134|2|12806288|partially relevant
135|2|12977079|partially relevant
136|2|13996279|partially relevant
137|2|14036926|partially relevant
138|2|39226255|partially relevant
139|2|39260310|partially relevant
140|2|39270246|partially relevant
141|2|39309121|partially relevant
142|2|43550001|partially relevant
143|2|47685106|partially relevant
144|2|48219986|partially relevant
145|2|48795376|partially relevant
146|2|50290388|partially relevant
147|2|50943958|partially relevant
148|2|50944313|partially relevant
149|2|51089068|partially relevant
150|2|51127559|partially relevant
151|2|58576527|partially relevant
152|2|52264|irrelevant
153|2|70684|irrelevant
154|2|385007|irrelevant
155|2|1811577|irrelevant
156|2|2191780|irrelevant
157|2|4112209|irrelevant
158|2|4259051|irrelevant
159|2|4316801|irrelevant
160|2|4510821|irrelevant
161|2|5477727|irrelevant
162|2|6045389|irrelevant
163|2|6494508|irrelevant
164|2|12796564|irrelevant
165|2|13276205|irrelevant
166|2|39259902|irrelevant
167|2|39261841|irrelevant
168|2|47831141|irrelevant
169|2|50643215|irrelevant
170|2|57699547|irrelevant
171|3|1886555|relevant
172|3|2305254|relevant
173|3|4251135|relevant
174|3|4297849|relevant
175|3|4299794|relevant
176|3|4414783|relevant
177|3|4710285|relevant
178|3|4783443|relevant
179|3|4783446|relevant
180|3|6029962|relevant
181|3|6030385|relevant
182|3|6030423|relevant
183|3|6031037|relevant
184|3|12140245|relevant
185|3|12274384|relevant
186|3|13307454|relevant
187|3|13761465|relevant
188|3|28454618|relevant
189|3|39219914|relevant
190|3|39246145|relevant
191|3|39248154|relevant
192|3|56965204|relevant
193|3|472994|partially relevant
194|3|893785|partially relevant
195|3|987496|partially relevant
196|3|2427524|partially relevant
197|3|2718620|partially relevant
198|3|3899865|partially relevant
199|3|4257978|partially relevant
200|3|4306043|partially relevant
201|3|4707005|partially relevant
202|3|4729949|partially relevant
203|3|4966408|partially relevant
204|3|5046123|partially relevant
205|3|5421796|partially relevant
206|3|6072072|partially relevant
207|3|6208392|partially relevant
208|3|6308683|partially relevant
209|3|13990895|partially relevant
210|3|14087249|partially relevant
211|3|32006811|partially relevant
212|3|35867225|partially relevant
213|3|39326590|partially relevant
214|3|48835326|partially relevant
215|3|51007397|partially relevant
216|3|51118903|partially relevant
217|3|51135869|partially relevant
218|3|56905450|partially relevant
219|3|56912305|partially relevant
220|3|56921658|partially relevant
221|3|56965423|partially relevant
222|3|330580|irrelevant
223|3|465852|irrelevant
224|3|1237204|irrelevant
225|3|1273205|irrelevant
226|3|1314723|irrelevant
227|3|1348993|irrelevant
228|3|1502406|irrelevant
229|3|1677178|irrelevant
230|3|1795700|irrelevant
231|3|2094032|irrelevant
232|3|2127794|irrelevant
233|3|2381531|irrelevant
234|3|4349994|irrelevant
235|3|5665818|irrelevant
236|3|6189894|irrelevant
237|3|6579301|irrelevant
238|3|10594704|irrelevant
239|3|10780303|irrelevant
240|3|11433367|irrelevant
241|3|11665992|irrelevant
242|3|11812441|irrelevant
243|3|11881227|irrelevant
244|3|23891995|irrelevant
245|3|26349537|irrelevant
246|3|27186007|irrelevant
247|3|27657583|irrelevant
248|3|27696805|irrelevant
249|3|29082853|irrelevant
250|3|29277006|irrelevant
251|3|29724789|irrelevant
252|3|35689655|irrelevant
253|3|39261413|irrelevant
254|3|40736794|irrelevant
255|3|41166492|irrelevant
256|3|44366041|irrelevant
257|3|44590753|irrelevant
258|3|46353696|irrelevant
259|3|49021156|irrelevant
260|3|51192967|irrelevant
261|3|55737531|irrelevant
262|3|57404051|irrelevant
263|3|57410009|irrelevant
264|3|57625991|irrelevant
265|3|57678676|irrelevant
